site,date,stream_area,order,family,genus,species,abun,total_abun,guild,lowest_taxon,month
Semi-Arid,2018-05-12,NA,Diptera,Chironomidae,NA,NA,19.35483870967742,175.2688172043011,invertebrate,Chironomidae,May
Semi-Arid,2018-06-01,NA,Odonata,Aeshnidae,Anax,NA,2.150537634408602,327.9569892473118,invertebrate,Anax,June
Semi-Arid,2018-06-01,NA,Hemiptera,Aphididae,NA,NA,2.6881720430107525,327.9569892473118,invertebrate,Aphididae,June
Semi-Arid,2018-06-01,NA,Odonata,Coenagrionidae,Argia,NA,2.6881720430107525,327.9569892473118,invertebrate,Argia,June
Semi-Arid,2018-06-01,NA,Ephemeroptera,Caenidae,Caenis,NA,42.47311827956989,327.9569892473118,invertebrate,Caenis,June
Semi-Arid,2018-06-01,NA,Diptera,Chironomidae,NA,NA,111.82795698924733,327.9569892473118,invertebrate,Chironomidae,June
Semi-Arid,2018-06-01,NA,Bivalva,Corbiculidae,Corbicula,NA,7.526881720430107,327.9569892473118,invertebrate,Corbicula,June
Semi-Arid,2018-06-01,NA,Odonata,Coenagrionidae,Enallagma,NA,4.838709677419355,327.9569892473118,invertebrate,Enallagma,June
Semi-Arid,2018-06-01,NA,Amphipoda,Hyalellidae,Hyalella,NA,13.978494623655914,327.9569892473118,invertebrate,Hyalella,June
Semi-Arid,2018-06-01,NA,Odonata,Libellulidae,NA,NA,2.150537634408602,327.9569892473118,invertebrate,Libellulidae,June
Semi-Arid,2018-06-01,NA,Gastropoda,Thiaridae,Melanoides,NA,12.365591397849462,327.9569892473118,invertebrate,Melanoides,June
Semi-Arid,2018-06-01,NA,Coleoptera,Elmidae,Microcylloepus,NA,9.67741935483871,327.9569892473118,invertebrate,Microcylloepus,June
Semi-Arid,2018-06-01,NA,Diptera,Ceratopogonidae,Probezzia,NA,8.602150537634408,327.9569892473118,invertebrate,Probezzia,June
Semi-Arid,2018-06-01,NA,Odonata,Protoneuridae,Protoneura,NA,18.279569892473116,327.9569892473118,invertebrate,Protoneura,June
Semi-Arid,2018-06-01,NA,Hemiptera,Veliidae,Rhagovelia,NA,29.569892473118276,327.9569892473118,invertebrate,Rhagovelia,June
Semi-Arid,2018-06-01,NA,Coleoptera,Scirtidae,NA,NA,8.064516129032258,327.9569892473118,invertebrate,Scirtidae,June
Semi-Arid,2018-06-01,NA,Diptera,Chironomidae,NA,NA,51.0752688172043,327.9569892473118,invertebrate,Chironomidae,June
Semi-Arid,2018-07-01,NA,Odonata,Coenagrionidae,Argia,NA,3.7634408602150535,309.6774193548387,invertebrate,Argia,July
Semi-Arid,2018-07-01,NA,Ephemeroptera,Caenidae,Caenis,NA,22.043010752688172,309.6774193548387,invertebrate,Caenis,July
Semi-Arid,2018-07-01,NA,Coleoptera,Carabidae,NA,NA,1.6129032258064515,309.6774193548387,invertebrate,Carabidae,July
Semi-Arid,2018-07-01,NA,Diptera,Chironomidae,NA,NA,9.67741935483871,309.6774193548387,invertebrate,Chironomidae,July
Semi-Arid,2018-07-01,NA,Diptera,Chironomidae,NA,NA,205.3763440860215,309.6774193548387,invertebrate,Chironomidae,July
Semi-Arid,2018-07-01,NA,Coleoptera,Chrysomelidae,NA,NA,3.225806451612903,309.6774193548387,invertebrate,Chrysomelidae,July
Semi-Arid,2018-07-01,NA,Bivalva,Corbiculidae,Corbicula,NA,4.301075268817204,309.6774193548387,invertebrate,Corbicula,July
Semi-Arid,2018-07-01,NA,Odonata,Coenagrionidae,Enallagma,NA,16.129032258064516,309.6774193548387,invertebrate,Enallagma,July
Semi-Arid,2018-07-01,NA,Odonata,Gomphidae,Erpetogomphus,NA,2.150537634408602,309.6774193548387,invertebrate,Erpetogomphus,July
Semi-Arid,2018-07-01,NA,Amphipoda,Hyalellidae,Hyalella,NA,15.053763440860214,309.6774193548387,invertebrate,Hyalella,July
Semi-Arid,2018-07-01,NA,Gastropoda,Thiaridae,Melanoides,NA,10.21505376344086,309.6774193548387,invertebrate,Melanoides,July
Semi-Arid,2018-07-01,NA,Diptera,Stratiomyidae,Odontomyia,NA,3.7634408602150535,309.6774193548387,invertebrate,Odontomyia,July
Semi-Arid,2018-07-01,NA,Gastropoda,Physidae,Physa,NA,1.6129032258064515,309.6774193548387,invertebrate,Physa,July
Semi-Arid,2018-07-01,NA,Coleoptera,Scirtidae,NA,NA,4.301075268817204,309.6774193548387,invertebrate,Scirtidae,July
Semi-Arid,2018-07-01,NA,Trichoptera,Hydropsychidae,Smicridea,NA,1.6129032258064515,309.6774193548387,invertebrate,Smicridea,July
Semi-Arid,2018-07-01,NA,Coleoptera,Elmidae,Stenelmis,NA,3.225806451612903,309.6774193548387,invertebrate,Stenelmis,July
Semi-Arid,2018-07-01,NA,Diptera,Chironomidae,NA,NA,1.6129032258064515,309.6774193548387,invertebrate,Chironomidae,July
